customer_name,phone,event_type,people_count,expected_amount,event_date,source,status,notes
张先生,13800000002,公司聚餐,25,5000-8000,2026-09-12,微信,待跟进,公司聚餐，预算明确，希望要安静包间，有海鲜。
李女士,13800000203,生日宴,12,2000-3500,2026-09-18,美团,待跟进,生日宴咨询，人数约12人。
王总,13800000204,商务宴请,8,3000-5000,2026-09-05,电话,已联系,商务宴请咨询，人数约8人。
陈先生,13800000205,同学聚会,18,4000-6000,2026-09-09,美团,已报价,同学聚会咨询，人数约18人。
刘女士,13800000206,家庭聚餐,10,1500-2500,2026-09-27,电话,待跟进,家庭聚餐咨询，人数约10人。
周总,13800000207,公司团建,30,8000-12000,2026-09-04,老客户介绍,已联系,公司团建咨询，人数约30人。
孙女士,13800000208,寿宴,20,5000-7000,2026-09-08,微信,已确定,寿宴咨询，人数约20人。
吴先生,13800000209,婚宴,40,15000-20000,2026-09-03,电话,已报价,婚宴咨询，人数约40人。
郑女士,13800000210,家庭聚餐,6,800-1500,2026-09-08,美团,已完成,家庭聚餐咨询，人数约6人。
冯先生,13800000211,商务宴请,6,2000-3000,2026-09-21,老客户介绍,已流失,商务宴请咨询，人数约6人。
何女士,13800000212,生日宴,8,1200-2000,2026-10-03,电话,待跟进,生日宴咨询，人数约8人。
柏先生,13800000271,同学聚会,25,5925-8800,2026-09-16,电话,已流失,
吉先生,13800000272,商务宴请,22,5676-6842,2026-10-11,到店咨询,已报价,
钱女士,13800000273,公司团建,12,2340-4404,2026-09-07,美团,已报价,
邱先生,13800000274,公司团建,15,2790-4860,2026-09-08,电话,已完成,
霍女士,13800000275,商务宴请,10,2650-4180,2026-09-03,微信,已完成,
邵女士,13800000276,公司团建,20,4240-6840,2026-10-10,老客户介绍,待跟进,
沈先生,13800000277,商务宴请,10,2800-3030,2026-10-02,美团,待跟进,
唐先生,13800000278,公司聚餐,28,7112-9548,2026-09-27,电话,已完成,
袁女士,13800000279,家庭聚餐,18,3762-5616,2026-09-16,老客户介绍,已联系,
俞女士,13800000280,家庭聚餐,22,5588-7964,2026-09-04,老客户介绍,已联系,
嵇先生,13800000281,公司聚餐,10,2290-3470,2026-09-09,老客户介绍,已完成,
翁先生,13800000282,婚宴,15,3075-5130,2026-09-09,微信,已完成,
姚先生,13800000283,商务宴请,8,1912-2864,2026-09-27,电话,已报价,
祁先生,13800000284,商务宴请,28,5628-10444,2026-10-06,电话,待跟进,
房女士,13800000285,公司聚餐,12,3060-4320,2026-09-30,到店咨询,待跟进,
伍女士,13800000286,公司团建,18,4230-6732,2026-09-15,美团,已联系,
娄先生,13800000287,生日宴,6,1440-2358,2026-10-03,微信,已确定,
蔡女士,13800000288,家庭聚餐,22,5346-7260,2026-09-06,美团,待跟进,
方女士,13800000289,商务宴请,18,3906-5940,2026-10-12,微信,待跟进,
