customer_name,phone,gender,age,customer_level,total_orders,total_amount,last_order_date,average_order_amount,birthday,tags,preferred_type
赵女士,13800000001,女,38,高价值沉睡客户,9,4260,2026-05-26,473.33,1988-11-04,"高价值,家庭聚餐",家庭聚餐
张先生,13800000002,男,42,高价值沉睡客户,7,3180,2026-06-12,454.29,1984-01-24,"商务宴请,高价值",商务宴请
王先生,13800000003,男,45,高价值沉睡客户,8,3520,2026-06-02,440.0,1981-05-08,"高价值,家庭聚餐",家庭聚餐
李女士,13800000004,女,36,高价值沉睡客户,6,2680,2026-06-19,446.67,1990-04-05,"高价值,生日宴",生日宴
刘先生,13800000005,男,48,高价值沉睡客户,10,5100,2026-05-19,510.0,1978-12-04,"高价值,商务宴请",商务宴请
陈女士,13800000006,女,41,高价值沉睡客户,5,2340,2026-06-25,468.0,1985-11-24,"高价值,家庭聚餐",家庭聚餐
杨先生,13800000007,男,50,高价值沉睡客户,12,6800,2026-05-11,566.67,1976-09-03,"高价值,公司聚餐",公司聚餐
黄女士,13800000008,女,34,高价值沉睡客户,7,2890,2026-06-08,412.86,1992-10-14,"高价值,朋友聚餐",朋友聚餐
周先生,13800000009,男,39,高价值沉睡客户,9,4450,2026-05-30,494.44,1987-01-01,"高价值,商务宴请",商务宴请
吴女士,13800000010,女,37,高价值沉睡客户,6,2510,2026-06-22,418.33,1989-02-07,"高价值,家庭聚餐",家庭聚餐
徐先生,13800000011,男,44,高价值沉睡客户,8,3920,2026-06-13,490.0,1982-04-17,"高价值,家庭聚餐",家庭聚餐
孙女士,13800000012,女,55,高价值沉睡客户,11,5600,2026-05-01,509.09,1971-10-01,"高价值,寿宴",家庭聚餐
马先生,13800000013,男,33,高价值沉睡客户,5,2180,2026-06-27,436.0,1993-09-07,"高价值,普通用餐",普通用餐
朱女士,13800000014,女,40,高价值沉睡客户,7,3300,2026-06-05,471.43,1986-12-21,"高价值,家庭聚餐",家庭聚餐
胡先生,13800000015,男,46,高价值沉睡客户,6,2750,2026-06-17,458.33,1980-12-18,"高价值,商务宴请",商务宴请
郭女士,13800000016,女,32,高价值沉睡客户,8,4100,2026-05-23,512.5,1994-07-08,"高价值,生日宴",生日宴
何先生,13800000017,男,35,高价值沉睡客户,9,3890,2026-06-10,432.22,1991-08-19,"高价值,朋友聚餐",朋友聚餐
高女士,13800000018,女,43,高价值沉睡客户,5,2050,2026-06-29,410.0,1983-05-26,"高价值,家庭聚餐",家庭聚餐
戴先生,13800000019,男,27,高价值客户,5,1522.02,2026-07-18,304.4,1999-01-03,"潜力客户,生日宴",生日宴
袁先生,13800000020,男,30,高价值客户,5,2044.37,2026-07-25,408.87,1996-05-22,普通用餐,普通用餐
花女士,13800000021,女,34,沉睡客户,4,951,2026-05-01,237.75,1992-07-07,公司聚餐,公司聚餐
孔先生,13800000022,男,53,潜力客户,4,1364.88,2026-07-28,341.22,1973-12-02,朋友聚餐,朋友聚餐
杨先生,13800000023,男,51,高价值客户,5,2143.66,2026-08-11,428.73,1975-04-18,公司聚餐,公司聚餐
喻女士,13800000024,女,53,高价值客户,5,2296.29,2026-08-09,459.26,1973-02-15,"潜力客户,家庭聚餐",家庭聚餐
蒋先生,13800000025,男,26,沉睡客户,2,426,2026-05-09,213.0,2000-08-07,普通用餐,普通用餐
杨女士,13800000026,女,36,高价值客户,6,2917.57,2026-08-29,486.26,1990-08-10,"高价值,商务宴请",商务宴请
邓女士,13800000027,女,57,潜力客户,2,488.51,2026-08-13,244.25,1969-10-24,家庭聚餐,家庭聚餐
贝先生,13800000028,男,29,高价值客户,15,8074.54,2026-08-09,538.3,1997-09-06,"高价值,普通用餐",普通用餐
柯先生,13800000029,男,31,潜力客户,4,1370.82,2026-08-09,342.7,1995-02-19,"潜力客户,家庭聚餐",家庭聚餐
诸先生,13800000030,男,28,沉睡客户,1,299,2026-04-17,299.0,1998-09-11,生日宴,生日宴
苗女士,13800000031,女,46,沉睡客户,3,828,2026-06-14,276.0,1980-11-10,家庭聚餐,家庭聚餐
贝女士,13800000032,女,30,潜力客户,4,1336.22,2026-07-21,334.06,1996-02-18,普通用餐,普通用餐
万先生,13800000033,男,42,高价值客户,5,1994.99,2026-08-09,399.0,1984-05-06,"潜力客户,家庭聚餐",家庭聚餐
丁女士,13800000034,女,45,高价值客户,13,3690,2026-08-09,283.85,1981-11-04,"高价值,生日宴",生日宴
盛先生,13800000035,男,33,沉睡客户,2,495,2026-05-25,247.5,1993-04-23,普通用餐,普通用餐
荀女士,13800000036,女,42,潜力客户,4,1563.42,2026-08-21,390.86,1984-11-14,"潜力客户,生日宴",生日宴
卫女士,13800000037,女,26,高价值客户,9,5121.02,2026-08-29,569.0,2000-12-15,"高价值,朋友聚餐",朋友聚餐
郁女士,13800000038,女,26,潜力客户,3,1075.92,2026-07-23,358.64,2000-06-19,普通用餐,普通用餐
颜先生,13800000039,男,34,高价值客户,5,1655.42,2026-08-29,331.08,1992-06-07,普通用餐,普通用餐
严先生,13800000040,男,48,高价值客户,14,7739.78,2026-08-29,552.84,1978-04-28,"高价值,生日宴",生日宴
范先生,13800000041,男,52,潜力客户,3,839.76,2026-07-31,279.92,1974-11-28,普通用餐,普通用餐
于先生,13800000042,男,36,潜力客户,3,847.03,2026-08-29,282.34,1990-08-08,公司聚餐,公司聚餐
徐先生,13800000043,男,48,潜力客户,2,490.28,2026-08-29,245.14,1978-04-13,朋友聚餐,朋友聚餐
姚女士,13800000044,女,30,潜力客户,3,743.08,2026-08-01,247.69,1996-09-11,朋友聚餐,朋友聚餐
魏先生,13800000045,男,42,高价值客户,16,6603.55,2026-08-29,412.72,1984-10-14,"高价值,家庭聚餐",家庭聚餐
郭女士,13800000046,女,58,高价值客户,13,7063.07,2026-08-29,543.31,1968-01-23,"高价值,普通用餐",普通用餐
房女士,13800000047,女,38,高价值客户,15,4895.7,2026-08-29,326.38,1988-06-22,"高价值,朋友聚餐",朋友聚餐
毛先生,13800000048,男,58,高价值客户,6,2782.71,2026-08-04,463.79,1968-12-10,"潜力客户,朋友聚餐",朋友聚餐
韦先生,13800000049,男,52,潜力客户,2,360,2026-07-18,180.0,1974-05-13,公司聚餐,公司聚餐
禹先生,13800000050,男,44,沉睡客户,4,1481,2026-04-17,370.25,1982-11-11,家庭聚餐,家庭聚餐
盛女士,13800000051,女,54,高价值客户,8,4389,2026-08-17,548.62,1972-12-06,"高价值,公司聚餐",公司聚餐
邵先生,13800000052,男,58,高价值客户,16,7098.95,2026-08-29,443.68,1968-04-22,"高价值,公司聚餐",公司聚餐
任女士,13800000053,女,38,潜力客户,3,910.78,2026-08-09,303.59,1988-10-28,"潜力客户,家庭聚餐",家庭聚餐
钟先生,13800000054,男,52,沉睡客户,2,709,2026-05-12,354.5,1974-07-08,公司聚餐,公司聚餐
钱先生,13800000055,男,32,高价值客户,8,2979,2026-08-09,372.38,1994-01-18,"高价值,商务宴请",商务宴请
姜先生,13800000056,男,55,潜力客户,4,1793.0,2026-07-27,448.25,1971-12-17,"潜力客户,家庭聚餐",家庭聚餐
宣女士,13800000057,女,54,高价值客户,5,2263.24,2026-07-27,452.65,1972-04-27,"潜力客户,家庭聚餐",家庭聚餐
樊女士,13800000058,女,41,潜力客户,3,562.99,2026-07-12,187.66,1985-04-09,朋友聚餐,朋友聚餐
明女士,13800000059,女,31,沉睡客户,2,486,2026-05-12,243.0,1995-03-23,家庭聚餐,家庭聚餐
朱先生,13800000060,男,52,潜力客户,4,1534.35,2026-07-28,383.59,1974-01-07,商务宴请,商务宴请
杜女士,13800000061,女,27,高价值客户,6,2808.47,2026-08-29,468.08,1999-06-10,"潜力客户,生日宴",生日宴
危女士,13800000062,女,40,潜力客户,3,838.38,2026-07-30,279.46,1986-01-13,商务宴请,商务宴请
季女士,13800000063,女,36,高价值客户,7,4149,2026-08-09,592.71,1990-07-19,"高价值,商务宴请",商务宴请
吕先生,13800000064,男,53,高价值客户,6,2013.31,2026-08-29,335.55,1973-07-11,家庭聚餐,家庭聚餐
计先生,13800000065,男,47,高价值客户,10,6406.25,2026-08-21,640.62,1979-02-16,"高价值,商务宴请",商务宴请
宗先生,13800000066,男,29,高价值客户,11,6136.11,2026-08-29,557.83,1997-11-02,"高价值,朋友聚餐",朋友聚餐
伍先生,13800000067,男,38,沉睡客户,2,462,2026-06-14,231.0,1988-11-04,普通用餐,普通用餐
骆先生,13800000068,男,42,潜力客户,3,1330.86,2026-07-19,443.62,1984-12-04,朋友聚餐,朋友聚餐
米先生,13800000069,男,32,沉睡客户,1,285,2026-04-18,285.0,1994-07-13,生日宴,生日宴
许先生,13800000070,男,41,潜力客户,3,922.88,2026-08-19,307.63,1985-10-26,普通用餐,普通用餐
宋先生,13800000071,男,53,潜力客户,3,577.81,2026-07-25,192.6,1973-06-01,公司聚餐,公司聚餐
胡女士,13800000072,女,32,潜力客户,2,453,2026-07-12,226.5,1994-07-06,商务宴请,商务宴请
邢女士,13800000073,女,56,沉睡客户,4,1478,2026-04-16,369.5,1970-06-28,商务宴请,商务宴请
施先生,13800000074,男,43,潜力客户,2,952,2026-07-19,476.0,1983-11-13,"潜力客户,商务宴请",商务宴请
王女士,13800000075,女,57,高价值客户,5,2159.8,2026-08-11,431.96,1969-05-11,"潜力客户,朋友聚餐",朋友聚餐
吉女士,13800000076,女,43,潜力客户,2,857.24,2026-08-14,428.62,1983-04-24,生日宴,生日宴
罗女士,13800000077,女,56,高价值客户,14,6945.77,2026-08-29,496.13,1970-05-08,"高价值,公司聚餐",公司聚餐
薛女士,13800000078,女,45,高价值客户,6,1913.9,2026-07-22,318.98,1981-06-14,公司聚餐,公司聚餐
庞女士,13800000079,女,55,潜力客户,3,527.54,2026-08-12,175.85,1971-12-07,朋友聚餐,朋友聚餐
陶女士,13800000080,女,37,潜力客户,3,1454.05,2026-08-09,484.68,1989-10-25,家庭聚餐,家庭聚餐
曹女士,13800000081,女,38,沉睡客户,2,502,2026-06-08,251.0,1988-01-23,朋友聚餐,朋友聚餐
尹先生,13800000082,男,28,高价值客户,17,7039.64,2026-08-29,414.1,1998-08-04,"高价值,普通用餐",普通用餐
洪先生,13800000083,男,44,潜力客户,3,707.08,2026-08-05,235.69,1982-01-09,商务宴请,商务宴请
魏女士,13800000084,女,30,潜力客户,4,1234.53,2026-07-19,308.63,1996-11-02,"潜力客户,商务宴请",商务宴请
窦先生,13800000085,男,45,潜力客户,2,659.14,2026-07-22,329.57,1981-07-20,普通用餐,普通用餐
房先生,13800000086,男,50,沉睡客户,4,958,2026-04-16,239.5,1976-05-19,商务宴请,商务宴请
嵇先生,13800000087,男,32,普通客户,1,157,2026-07-15,157.0,1994-03-08,家庭聚餐,家庭聚餐
贲先生,13800000088,男,30,普通客户,1,272,2026-07-29,272.0,1996-10-16,家庭聚餐,家庭聚餐
冯女士,13800000089,女,40,潜力客户,3,934.25,2026-08-29,311.42,1986-04-09,朋友聚餐,朋友聚餐
江先生,13800000090,男,33,潜力客户,2,657,2026-08-07,328.5,1993-03-03,"潜力客户,生日宴",生日宴
潘先生,13800000091,男,45,潜力客户,4,1598.2,2026-08-19,399.55,1981-12-10,生日宴,生日宴
萧女士,13800000092,女,58,潜力客户,3,893.76,2026-08-21,297.92,1968-01-14,生日宴,生日宴
龚女士,13800000093,女,42,高价值客户,6,2516.64,2026-07-19,419.44,1984-01-25,"潜力客户,普通用餐",普通用餐
包女士,13800000094,女,28,高价值客户,13,6923.45,2026-08-17,532.57,1998-05-06,"高价值,家庭聚餐",家庭聚餐
张女士,13800000095,女,56,潜力客户,2,455,2026-08-06,227.5,1970-02-28,朋友聚餐,朋友聚餐
伏先生,13800000096,男,52,潜力客户,3,872.49,2026-07-15,290.83,1974-07-27,公司聚餐,公司聚餐
余先生,13800000097,男,46,高价值客户,5,1546.32,2026-07-21,309.26,1980-07-02,"潜力客户,普通用餐",普通用餐
莫先生,13800000098,男,49,沉睡客户,4,1337,2026-05-05,334.25,1977-01-07,生日宴,生日宴
谢女士,13800000099,女,44,潜力客户,3,606.92,2026-08-29,202.31,1982-10-26,商务宴请,商务宴请
云先生,13800000100,男,45,普通客户,1,232,2026-07-31,232.0,1981-04-27,生日宴,生日宴
邱先生,13800000101,男,33,潜力客户,4,1977.76,2026-08-06,494.44,1993-12-09,"潜力客户,公司聚餐",公司聚餐
田女士,13800000102,女,56,潜力客户,3,940.78,2026-08-17,313.59,1970-04-20,家庭聚餐,家庭聚餐
秦先生,13800000103,男,43,高价值客户,6,2027.63,2026-08-09,337.94,1983-01-10,商务宴请,商务宴请
石女士,13800000104,女,57,潜力客户,3,1403,2026-08-02,467.67,1969-09-25,"潜力客户,家庭聚餐",家庭聚餐
钟女士,13800000105,女,46,高价值客户,10,5500.42,2026-08-21,550.04,1980-07-02,"高价值,家庭聚餐",家庭聚餐
夏女士,13800000106,女,50,潜力客户,2,695.88,2026-08-29,347.94,1976-09-19,商务宴请,商务宴请
梅女士,13800000107,女,32,高价值客户,15,4317.97,2026-08-29,287.86,1994-11-05,"高价值,生日宴",生日宴
高先生,13800000108,男,42,潜力客户,2,349,2026-08-05,174.5,1984-11-28,朋友聚餐,朋友聚餐
荣女士,13800000109,女,57,潜力客户,4,1434.21,2026-08-29,358.55,1969-11-22,生日宴,生日宴
袁女士,13800000110,女,31,沉睡客户,1,370,2026-06-18,370.0,1995-03-23,商务宴请,商务宴请
计女士,13800000111,女,29,潜力客户,2,408,2026-07-30,204.0,1997-04-17,朋友聚餐,朋友聚餐
单女士,13800000112,女,37,高价值客户,9,3048.09,2026-08-01,338.68,1989-07-20,"高价值,家庭聚餐",家庭聚餐
霍先生,13800000113,男,35,沉睡客户,4,1310,2026-05-29,327.5,1991-05-22,家庭聚餐,家庭聚餐
湛先生,13800000114,男,36,潜力客户,4,1286.89,2026-07-20,321.72,1990-11-14,普通用餐,普通用餐
禹女士,13800000115,女,38,潜力客户,4,1315.98,2026-08-09,329.0,1988-10-12,"潜力客户,商务宴请",商务宴请
祁女士,13800000116,女,27,沉睡客户,4,952,2026-06-29,238.0,1999-11-25,公司聚餐,公司聚餐
程先生,13800000117,男,57,潜力客户,4,1787.43,2026-08-04,446.86,1969-11-07,朋友聚餐,朋友聚餐
孔女士,13800000118,女,28,潜力客户,2,262,2026-07-20,131.0,1998-12-05,朋友聚餐,朋友聚餐
祁先生,13800000119,男,46,潜力客户,3,903,2026-08-12,301.0,1980-09-12,"潜力客户,公司聚餐",公司聚餐
潘女士,13800000120,女,42,高价值客户,6,1801.34,2026-08-19,300.22,1984-02-05,商务宴请,商务宴请
蓝先生,13800000121,男,49,潜力客户,3,895.08,2026-08-10,298.36,1977-02-15,普通用餐,普通用餐
左女士,13800000122,女,50,潜力客户,4,1095.25,2026-08-10,273.81,1976-01-20,"潜力客户,公司聚餐",公司聚餐
嵇女士,13800000123,女,40,潜力客户,2,745.6,2026-07-13,372.8,1986-11-14,公司聚餐,公司聚餐
喻先生,13800000124,男,28,潜力客户,2,464,2026-08-19,232.0,1998-04-18,普通用餐,普通用餐
杜先生,13800000125,男,55,高价值客户,13,6477,2026-08-01,498.23,1971-12-05,"高价值,朋友聚餐",朋友聚餐
贾女士,13800000126,女,43,潜力客户,4,1313.16,2026-07-29,328.29,1983-04-28,普通用餐,普通用餐
屈女士,13800000127,女,48,潜力客户,2,355,2026-08-14,177.5,1978-08-03,普通用餐,普通用餐
於先生,13800000128,男,27,潜力客户,4,1709.1,2026-08-16,427.27,1999-10-07,"潜力客户,普通用餐",普通用餐
凤先生,13800000129,男,39,沉睡客户,3,1134,2026-06-12,378.0,1987-10-01,家庭聚餐,家庭聚餐
水女士,13800000130,女,34,沉睡客户,3,1066,2026-06-08,355.33,1992-11-28,生日宴,生日宴
谢先生,13800000131,男,26,潜力客户,3,982.15,2026-08-06,327.38,2000-03-09,朋友聚餐,朋友聚餐
戚先生,13800000132,男,52,普通客户,1,153,2026-07-27,153.0,1974-06-17,生日宴,生日宴
刁先生,13800000133,男,58,潜力客户,3,1481.43,2026-08-07,493.81,1968-11-01,家庭聚餐,家庭聚餐
蔡先生,13800000134,男,51,潜力客户,3,1405.96,2026-07-12,468.65,1975-08-03,商务宴请,商务宴请
臧先生,13800000135,男,35,潜力客户,3,1110.03,2026-07-18,370.01,1991-10-18,普通用餐,普通用餐
董女士,13800000136,女,44,潜力客户,4,1821,2026-08-18,455.25,1982-12-04,"潜力客户,商务宴请",商务宴请
路先生,13800000137,男,47,高价值客户,5,1776.46,2026-07-11,355.29,1979-06-14,商务宴请,商务宴请
慕女士,13800000138,女,49,高价值客户,14,4416.55,2026-08-29,315.47,1977-02-03,"高价值,家庭聚餐",家庭聚餐
项女士,13800000139,女,34,高价值客户,5,2931,2026-08-09,586.2,1992-06-22,"高价值,生日宴",生日宴
庞先生,13800000140,男,53,高价值客户,6,2779.3,2026-08-01,463.22,1973-06-04,"高价值,公司聚餐",公司聚餐
章先生,13800000141,男,56,沉睡客户,1,256,2026-04-20,256.0,1970-02-25,家庭聚餐,家庭聚餐
洪女士,13800000142,女,40,普通客户,1,341,2026-07-15,341.0,1986-12-09,商务宴请,商务宴请
彭先生,13800000143,男,43,潜力客户,3,1139,2026-08-02,379.67,1983-03-28,"潜力客户,公司聚餐",公司聚餐
单先生,13800000144,男,51,高价值客户,11,6089.73,2026-08-29,553.61,1975-12-17,"高价值,普通用餐",普通用餐
祝先生,13800000145,男,52,潜力客户,3,899,2026-08-01,299.67,1974-12-11,"潜力客户,商务宴请",商务宴请
沈先生,13800000146,男,35,潜力客户,2,732.58,2026-08-09,366.29,1991-11-14,家庭聚餐,家庭聚餐
程女士,13800000147,女,54,高价值客户,9,3484,2026-08-09,387.11,1972-06-14,"高价值,商务宴请",商务宴请
崔先生,13800000148,男,57,高价值客户,6,2510.59,2026-08-29,418.43,1969-07-20,"潜力客户,生日宴",生日宴
苗先生,13800000149,男,45,沉睡客户,2,707,2026-05-29,353.5,1981-06-04,家庭聚餐,家庭聚餐
奚先生,13800000150,男,34,高价值客户,5,1622.48,2026-07-23,324.5,1992-11-26,"潜力客户,商务宴请",商务宴请
尤女士,13800000151,女,51,潜力客户,3,1122.9,2026-08-29,374.3,1975-02-28,公司聚餐,公司聚餐
童女士,13800000152,女,51,潜力客户,3,667.34,2026-08-19,222.45,1975-01-11,公司聚餐,公司聚餐
裴先生,13800000153,男,55,潜力客户,4,1147.39,2026-07-30,286.85,1971-02-08,公司聚餐,公司聚餐
闵女士,13800000154,女,31,沉睡客户,3,1038,2026-05-18,346.0,1995-06-25,商务宴请,商务宴请
荀先生,13800000155,男,33,沉睡客户,2,720,2026-05-17,360.0,1993-12-27,生日宴,生日宴
唐先生,13800000156,男,32,高价值客户,10,3838.64,2026-08-29,383.86,1994-03-25,"高价值,家庭聚餐",家庭聚餐
荣先生,13800000157,男,57,高价值客户,5,2017.83,2026-07-19,403.57,1969-11-20,"潜力客户,商务宴请",商务宴请
窦女士,13800000158,女,54,沉睡客户,4,1090,2026-04-11,272.5,1972-05-19,普通用餐,普通用餐
尤先生,13800000159,男,45,潜力客户,3,724,2026-08-21,241.33,1981-05-03,"潜力客户,商务宴请",商务宴请
邢先生,13800000160,男,58,潜力客户,4,1367.92,2026-07-27,341.98,1968-10-21,"潜力客户,商务宴请",商务宴请
龚先生,13800000161,男,56,沉睡客户,2,323,2026-05-04,161.5,1970-06-23,生日宴,生日宴
惠先生,13800000162,男,37,潜力客户,4,1882.22,2026-07-27,470.56,1989-09-20,"潜力客户,普通用餐",普通用餐
舒先生,13800000163,男,49,潜力客户,2,494,2026-08-05,247.0,1977-10-02,朋友聚餐,朋友聚餐
朱女士,13800000164,女,47,潜力客户,2,436,2026-08-10,218.0,1979-11-20,普通用餐,普通用餐
成先生,13800000165,男,31,潜力客户,3,1155.63,2026-08-07,385.21,1995-12-22,生日宴,生日宴
